subject,neuron,best_bin_ms,best_gamma,overall_accuracy,preferred_number,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_6,accuracy_7,accuracy_8,accuracy_9
YFK,46,90,0.5,0.17543859649122806,3,0.2631578947368421,0.11764705882352941,0.2857142857142857,0.0,0.14285714285714285,0.125,0.0,0.25,0.25
YFK,52,90,0.5,0.21052631578947367,4,0.2631578947368421,0.29411764705882354,0.0,0.5,0.07142857142857142,0.375,0.4,0.0,0.125
YFK,56,180,0.8,0.18421052631578946,1,0.3157894736842105,0.23529411764705882,0.14285714285714285,0.0,0.14285714285714285,0.0625,0.3,0.25,0.0
YFK,58,900,0.2,0.19298245614035087,6,0.2631578947368421,0.0,0.0,0.0,0.0,0.75,0.2,0.25,0.0
YFK,60,75,0.2,0.21052631578947367,3,0.05263157894736842,0.11764705882352941,0.7142857142857143,0.0,0.14285714285714285,0.125,0.3,0.08333333333333333,0.375
YFK,65,180,0.5,0.17543859649122806,3,0.10526315789473684,0.0,0.6428571428571429,0.5,0.0,0.25,0.0,0.16666666666666666,0.125
YFK,67,100,0.2,0.16666666666666666,3,0.0,0.0,0.8571428571428571,0.75,0.0,0.0,0.2,0.16666666666666666,0.0
YFL,22,225,0.2,0.19298245614035087,3,0.21052631578947367,0.23529411764705882,0.5714285714285714,0.0,0.14285714285714285,0.0625,0.1,0.0,0.25
YFL,25,60,0.8,0.18421052631578946,1,0.5263157894736842,0.23529411764705882,0.2857142857142857,0.0,0.0,0.0,0.2,0.08333333333333333,0.0
YFL,31,100,0.2,0.18421052631578946,3,0.21052631578947367,0.23529411764705882,0.42857142857142855,0.0,0.07142857142857142,0.0,0.0,0.4166666666666667,0.125
YFL,36,60,0.5,0.21929824561403508,2,0.05263157894736842,0.4117647058823529,0.07142857142857142,0.25,0.14285714285714285,0.1875,0.4,0.25,0.375
YFL,72,75,0.8,0.21929824561403508,4,0.3684210526315789,0.17647058823529413,0.07142857142857142,0.5,0.21428571428571427,0.25,0.1,0.25,0.125
YFL,81,90,0.8,0.21052631578947367,5,0.3157894736842105,0.29411764705882354,0.07142857142857142,0.0,0.42857142857142855,0.0625,0.4,0.08333333333333333,0.0
YFL,83,300,0.2,0.19298245614035087,2,0.05263157894736842,0.4117647058823529,0.35714285714285715,0.0,0.07142857142857142,0.1875,0.1,0.08333333333333333,0.375
YFL,87,60,0.8,0.17543859649122806,5,0.15789473684210525,0.17647058823529413,0.14285714285714285,0.0,0.5,0.125,0.2,0.08333333333333333,0.0
YFL,93,225,0.5,0.17543859649122806,2,0.05263157894736842,0.29411764705882354,0.21428571428571427,0.25,0.21428571428571427,0.0625,0.2,0.25,0.125
YFM,17,75,0.5,0.18421052631578946,1,0.3157894736842105,0.23529411764705882,0.07142857142857142,0.25,0.14285714285714285,0.0,0.2,0.25,0.25
YFM,26,60,0.8,0.18421052631578946,1,0.42105263157894735,0.11764705882352941,0.07142857142857142,0.25,0.14285714285714285,0.0,0.3,0.25,0.125
YFM,34,90,0.5,0.21929824561403508,2,0.15789473684210525,0.47058823529411764,0.07142857142857142,0.0,0.14285714285714285,0.125,0.2,0.4166666666666667,0.25
YFM,36,60,0.5,0.19298245614035087,2,0.15789473684210525,0.29411764705882354,0.14285714285714285,0.0,0.2857142857142857,0.25,0.2,0.0,0.25
YFM,37,60,0.8,0.21052631578947367,4,0.15789473684210525,0.35294117647058826,0.21428571428571427,0.5,0.21428571428571427,0.1875,0.2,0.16666666666666666,0.0
YFM,39,225,0.8,0.18421052631578946,3,0.21052631578947367,0.0,0.42857142857142855,0.0,0.21428571428571427,0.1875,0.3,0.16666666666666666,0.0
YFM,41,100,0.2,0.22807017543859648,1,0.42105263157894735,0.4117647058823529,0.14285714285714285,0.25,0.21428571428571427,0.0,0.4,0.0,0.125
YFM,43,90,0.2,0.18421052631578946,1,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
YFM,44,100,0.8,0.16666666666666666,1,0.3157894736842105,0.17647058823529413,0.07142857142857142,0.0,0.0,0.25,0.1,0.16666666666666666,0.25
YFM,49,150,0.2,0.18421052631578946,4,0.10526315789473684,0.11764705882352941,0.35714285714285715,0.75,0.07142857142857142,0.25,0.2,0.16666666666666666,0.0
YFM,65,75,0.2,0.23684210526315788,1,0.5789473684210527,0.0,0.35714285714285715,0.25,0.0,0.1875,0.1,0.25,0.375
YFM,66,100,0.2,0.20175438596491227,4,0.0,0.17647058823529413,0.2857142857142857,0.5,0.14285714285714285,0.375,0.1,0.08333333333333333,0.5
YFM,81,300,0.5,0.21929824561403508,3,0.10526315789473684,0.17647058823529413,0.5714285714285714,0.25,0.14285714285714285,0.375,0.1,0.08333333333333333,0.125
YFM,86,60,0.8,0.19298245614035087,2,0.2631578947368421,0.47058823529411764,0.14285714285714285,0.0,0.0,0.0,0.3,0.25,0.125
YFM,89,180,0.5,0.20175438596491227,4,0.10526315789473684,0.17647058823529413,0.35714285714285715,1.0,0.07142857142857142,0.0625,0.4,0.16666666666666666,0.125
YFM,92,60,0.2,0.17543859649122806,8,0.0,0.17647058823529413,0.14285714285714285,0.0,0.21428571428571427,0.25,0.1,0.4166666666666667,0.25
YFP,30,225,0.5,0.17088607594936708,9,0.09090909090909091,0.047619047619047616,0.17647058823529413,0.0,0.125,0.2857142857142857,0.21428571428571427,0.09523809523809523,0.6
YFP,32,900,0.2,0.15822784810126583,5,0.45454545454545453,0.0,0.11764705882352941,0.0,0.5625,0.0,0.0,0.0,0.4
YFP,34,150,0.5,0.17088607594936708,1,0.6363636363636364,0.19047619047619047,0.0,0.0,0.125,0.17857142857142858,0.14285714285714285,0.0,0.0
YFP,36,150,0.5,0.17088607594936708,9,0.045454545454545456,0.23809523809523808,0.35294117647058826,0.0,0.125,0.10714285714285714,0.21428571428571427,0.14285714285714285,0.4
YFP,39,300,0.2,0.16455696202531644,1,1.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0
YFP,80,75,0.2,0.18354430379746836,1,1.0,0.09523809523809523,0.17647058823529413,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
YFP,86,180,0.5,0.17088607594936708,4,0.2727272727272727,0.19047619047619047,0.0,0.3333333333333333,0.1875,0.14285714285714285,0.21428571428571427,0.047619047619047616,0.3
YFP,91,300,0.2,0.17721518987341772,3,0.09090909090909091,0.2857142857142857,0.29411764705882354,0.1111111111111111,0.25,0.2857142857142857,0.0,0.09523809523809523,0.0
YFP,93,450,0.5,0.15822784810126583,2,0.13636363636363635,0.47619047619047616,0.23529411764705882,0.1111111111111111,0.125,0.0,0.2857142857142857,0.047619047619047616,0.0
YFR,6,225,0.5,0.18421052631578946,9,0.1111111111111111,0.13793103448275862,0.14814814814814814,0.0,0.1,0.15,0.3333333333333333,0.30434782608695654,0.38235294117647056
YFR,19,225,0.2,0.15037593984962405,7,0.1111111111111111,0.06896551724137931,0.0,0.08823529411764706,0.13333333333333333,0.15,0.3333333333333333,0.21739130434782608,0.23529411764705882
YFR,20,900,0.2,0.15413533834586465,4,0.19444444444444445,0.06896551724137931,0.0,0.6470588235294118,0.0,0.0,0.09090909090909091,0.30434782608695654,0.0
YFR,21,90,0.8,0.18421052631578946,6,0.1111111111111111,0.13793103448275862,0.14814814814814814,0.20588235294117646,0.26666666666666666,0.3,0.09090909090909091,0.21739130434782608,0.23529411764705882
YFR,22,90,0.2,0.15037593984962405,1,0.6666666666666666,0.3103448275862069,0.037037037037037035,0.08823529411764706,0.0,0.0,0.06060606060606061,0.0,0.029411764705882353
YFR,23,150,0.2,0.16165413533834586,7,0.08333333333333333,0.10344827586206896,0.07407407407407407,0.2647058823529412,0.16666666666666666,0.2,0.2727272727272727,0.08695652173913043,0.17647058823529413
YFR,28,180,0.8,0.15037593984962405,2,0.16666666666666666,0.3448275862068966,0.1111111111111111,0.058823529411764705,0.03333333333333333,0.1,0.18181818181818182,0.17391304347826086,0.17647058823529413
YFR,32,150,0.8,0.16165413533834586,6,0.08333333333333333,0.2413793103448276,0.14814814814814814,0.0,0.23333333333333334,0.3,0.24242424242424243,0.21739130434782608,0.08823529411764706
