subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFM,64,hpc,225,4,0.8,4,0.14912280701754385,,22,0.11442786069651742,False,1.9483420848846436
YFM,65,hpc,100,9,0.2,4,0.16666666666666666,0.11228070175438595,16,0.0845771144278607,False,2.729950428009033
YFM,66,hpc,150,6,0.5,4,0.14912280701754385,,26,0.13432835820895522,False,2.357724189758301
YFM,67,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.2988288402557373
YFM,68,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.32990264892578125
YFM,69,hpc,150,6,0.5,4,0.13157894736842105,0.11017543859649123,52,0.263681592039801,False,2.4871408939361572
YFM,70,hpc,900,1,0.5,4,0.12280701754385964,,39,0.19900497512437812,False,1.481656789779663
YFM,71,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3173236846923828
YFM,72,hpc,225,4,0.2,4,0.14912280701754385,0.11258771929824561,34,0.17412935323383086,False,2.158900022506714
YFM,73,hpc,225,4,0.2,4,0.21929824561403508,0.11166666666666664,0,0.004975124378109453,True,1.8149995803833008
YFM,74,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3054487705230713
YFM,75,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.33494138717651367
YFM,76,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3175485134124756
YFM,77,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.3765690326690674
YFM,78,hpc,60,15,0.2,4,0.08771929824561403,,76,0.38308457711442784,False,2.1365339756011963
YFM,79,hpc,60,15,0.2,4,,,0,0.004975124378109453,True,0.38018298149108887
YFM,80,hpc,225,4,0.8,4,0.18421052631578946,0.10583333333333332,2,0.014925373134328358,True,2.4524779319763184
YFM,81,hpc,180,5,0.5,4,0.16666666666666666,,8,0.04477611940298507,True,2.029865026473999
YFM,82,ent,900,1,0.5,4,0.08771929824561403,,99,0.4975124378109453,False,1.695305585861206
YFM,83,ent,900,1,0.2,4,0.14912280701754385,,1,0.009950248756218905,True,0.7671434879302979
YFM,84,ent,60,15,0.2,4,,,0,0.004975124378109453,True,0.37798166275024414
YFM,85,ent,900,1,0.2,4,0.15789473684210525,,5,0.029850746268656716,True,1.3988878726959229
YFM,86,ent,100,9,0.2,4,0.14912280701754385,0.11657894736842106,38,0.19402985074626866,False,2.9052324295043945
YFM,87,ent,450,2,0.2,4,0.13157894736842105,,5,0.029850746268656716,True,0.5976669788360596
YFM,88,ent,60,15,0.2,4,0.16666666666666666,,18,0.0945273631840796,False,2.8040971755981445
YFM,89,ent,900,1,0.5,4,0.10526315789473684,,82,0.4129353233830846,False,1.5111479759216309
YFM,90,ent,100,9,0.5,4,0.19298245614035087,0.11267543859649123,2,0.014925373134328358,True,2.6494362354278564
