subject,neuron_id,region,best_bin_ms,n_temporal_bins,best_gamma,n_folds,observed_accuracy,mean_shuffle_accuracy,n_shuffles_ge_observed,p_value,number_coding,runtime_sec
YFJ,24,hpc,300.0,3.0,0.8,4.0,0.14912280701754385,0.1069736842105263,26.0,0.13432835820895522,False,3.4068214893341064
YFJ,25,hpc,90.0,10.0,0.5,4.0,0.15789473684210525,0.11491228070175438,31.0,0.15920398009950248,False,3.3410956859588623
YFJ,26,hpc,60.0,15.0,0.2,4.0,0.14912280701754385,0.1126315789473684,29.0,0.14925373134328357,False,3.4488253593444824
YFJ,27,hpc,75.0,12.0,0.8,4.0,0.14912280701754385,0.11359649122807017,35.0,0.1791044776119403,False,3.5218100547790527
YFJ,28,hpc,300.0,3.0,0.5,4.0,0.15789473684210525,0.10872807017543859,9.0,0.04975124378109453,True,3.3200020790100098
YFJ,37,hpc,90.0,10.0,0.8,4.0,0.19298245614035087,0.11223684210526315,1.0,0.009950248756218905,True,3.5052216053009033
YFJ,38,hpc,450.0,2.0,0.8,4.0,0.13157894736842105,0.09271929824561403,38.0,0.19402985074626866,False,3.3439412117004395
YFJ,39,hpc,900.0,1.0,0.2,4.0,0.15789473684210525,0.10364035087719298,14.0,0.07462686567164178,False,3.1681220531463623
YFJ,40,hpc,225.0,4.0,0.2,4.0,0.13157894736842105,0.10960526315789472,60.0,0.3034825870646766,False,3.339259147644043
YFJ,41,hpc,100.0,9.0,0.8,4.0,0.18421052631578946,0.11403508771929825,7.0,0.03980099502487562,True,3.393298864364624
YFJ,42,hpc,100.0,9.0,0.8,4.0,0.14912280701754385,0.11333333333333333,35.0,0.1791044776119403,False,3.3682525157928467
YFJ,43,hpc,180.0,5.0,0.8,4.0,0.14912280701754385,0.10662280701754386,25.0,0.12935323383084577,False,3.3626482486724854
YFJ,44,hpc,225.0,4.0,0.8,4.0,0.19298245614035087,0.11078947368421051,2.0,0.014925373134328358,True,3.3663742542266846
YFJ,45,hpc,450.0,2.0,0.8,4.0,0.12280701754385964,0.0856140350877193,28.0,0.14427860696517414,False,3.219766616821289
YFJ,46,hpc,300.0,3.0,0.2,4.0,0.17543859649122806,0.10938596491228068,9.0,0.04975124378109453,True,3.2406411170959473
YFJ,47,hpc,450.0,2.0,0.5,4.0,0.11403508771929824,0.10508771929824562,74.0,0.373134328358209,False,3.557050943374634
YFJ,48,hpc,100.0,9.0,0.5,4.0,0.16666666666666666,0.11298245614035088,21.0,0.10945273631840796,False,3.4947333335876465
YFJ,49,hpc,60.0,15.0,0.2,4.0,0.15789473684210525,0.11403508771929824,24.0,0.12437810945273632,False,3.5548927783966064
YFJ,50,hpc,75.0,12.0,0.2,4.0,0.12280701754385964,0.11118421052631579,76.0,0.38308457711442784,False,3.5271360874176025
YFJ,51,hpc,900.0,1.0,0.2,4.0,0.12280701754385964,0.1062280701754386,70.0,0.35323383084577115,False,3.3168914318084717
YFJ,52,hpc,225.0,4.0,0.5,4.0,0.16666666666666666,0.10899122807017543,11.0,0.05970149253731343,False,3.3495123386383057
YFJ,53,hpc,450.0,2.0,0.8,4.0,0.07894736842105263,0.08592105263157894,118.0,0.5920398009950248,False,3.457298994064331
YFJ,54,hpc,100.0,9.0,0.8,4.0,0.18421052631578946,0.11592105263157894,5.0,0.029850746268656716,True,3.4707210063934326
YFJ,55,hpc,90.0,10.0,0.2,4.0,0.16666666666666666,0.11403508771929824,19.0,0.09950248756218906,False,3.292368173599243
