number,time_s,mean_rate_hz,sem_rate_hz,n_presentations
5,0.433,7.450912881227518,0.5268429484032316,51
5,0.434,7.450561051679374,0.5263153295527045,51
5,0.435,7.450170087941222,0.5257844410035477,51
5,0.436,7.449757310514258,0.5252516094802275,51
5,0.437,7.449323007253444,0.5247169217959943,51
5,0.438,7.44888496304334,0.5241812177095515,51
5,0.439,7.44840941195675,0.5236383015659615,51
5,0.44,7.447896647602589,0.5231007600037989,51
5,0.441,7.4473814838267325,0.5225639291031038,51
5,0.442,7.446846723021959,0.5220212400654564,51
5,0.443,7.446309699105624,0.5214732179731617,51
5,0.444,7.44573619492362,0.5209278485006141,51
5,0.445,7.445161042810354,0.5203844027288003,51
5,0.446,7.444532994202389,0.5198412560153494,51
5,0.447,7.443921402741911,0.5192923257888216,51
5,0.448,7.443274562251946,0.5187428180532102,51
5,0.449,7.442609815838391,0.5181925095544992,51
5,0.45,7.441927473293046,0.5176414885365347,51
5,0.451,7.441227845527465,0.5170898432916059,51
5,0.452,7.440563730238903,0.5165308098755473,51
5,0.453,7.43981485174173,0.5159757334688203,51
5,0.454,7.439067146593637,0.5154226254834607,51
5,0.455,7.438303435504739,0.5148692385092056,51
5,0.456,7.43752403528797,0.5143156608722528,51
5,0.457,7.436729263565534,0.5137619808766187,51
5,0.458,7.435919438715072,0.51320828679301,51
5,0.459,7.435112375055543,0.5126552819714735,51
5,0.46,7.43427387425061,0.5121018578172167,51
5,0.461,7.4333872224056075,0.5115518003307625,51
5,0.462,7.43252177731754,0.5109988964733245,51
5,0.463,7.431660365897515,0.5104503034450443,51
5,0.464,7.430752218924982,0.509897993590336,51
5,0.465,7.429849212704921,0.5093468979787144,51
5,0.466,7.4289337155848605,0.5087964988633233,51
5,0.467,7.428006052169635,0.5082468838867263,51
5,0.468,7.427066547275352,0.5076981405506726,51
5,0.469,7.426133021115662,0.5071463860255049,51
5,0.47,7.425171280705634,0.5065995461530337,51
5,0.471,7.424216181173396,0.5060565746877485,51
5,0.472,7.423233529860177,0.5055121624502842,51
5,0.473,7.422258182119278,0.5049677980023902,51
5,0.474,7.4212564061690145,0.5044273467711567,51
5,0.475,7.420263057653357,0.503887760333235,51
5,0.476,7.419260978982366,0.5033470791562888,51
5,0.477,7.418233473340756,0.502801953133981,51
5,0.478,7.417197901465592,0.5022665383061043,51
5,0.479,7.416154128777399,0.5017329375460508,51
5,0.48,7.415102941806769,0.5012057430071617,51
5,0.481,7.4140446661514705,0.5006760806238827,51
5,0.482,7.4129791664250595,0.5001484879361733,51
5,0.483,7.411889732957195,0.4996219962367513,51
5,0.484,7.410828703533835,0.4990974436873634,51
5,0.485,7.409727354191497,0.49857856174456855,51
5,0.486,7.408655056378514,0.49806245674353194,51
5,0.487,7.407560119693174,0.4975464554925351,51
5,0.488,7.406426292767281,0.497037050895859,51
5,0.489,7.405322934042196,0.49652640463074094,51
5,0.49,7.404215374708958,0.49601816910840657,51
5,0.491,7.403121430984567,0.49550986159549537,51
5,0.492,7.402006905041364,0.4950028479025962,51
5,0.493,7.400889611836967,0.4945022859294242,51
5,0.494,7.399804400251018,0.494005532676641,51
5,0.495,7.398699586918362,0.49351186039153283,51
5,0.496,7.397558005889086,0.4930197288728387,51
5,0.497,7.396449021890671,0.49252899611938916,51
5,0.498,7.395320937284532,0.4920457437736923,51
5,0.499,7.394191101175586,0.4915659276544141,51
5,0.5,7.393059826823337,0.4910896248294329,51
5,0.501,7.391927426084238,0.4906169118564237,51
5,0.502,7.390794209367244,0.490147864772703,51
5,0.503,7.389677980829496,0.48968700263667253,51
5,0.504,7.388562025029735,0.4892291979569765,51
5,0.505,7.387412129980428,0.48877263455715036,51
5,0.506,7.386280153230088,0.4883192072680829,51
5,0.507,7.385148902878633,0.4878698243513395,51
5,0.508,7.384036175804868,0.4874274975435619,51
5,0.509,7.382890719355226,0.48699020034264134,51
5,0.51,7.381764384731787,0.4865533586367526,51
5,0.511,7.380639973522189,0.4861208531796316,51
5,0.512,7.379517780689026,0.48569275433758113,51
5,0.513,7.378398099290078,0.48526913185276155,51
5,0.514,7.377264185951616,0.4848532496403266,51
5,0.515,7.3761688041257605,0.48444006609379325,51
5,0.516,7.375095218624961,0.4840322870533967,51
5,0.517,7.373991253166578,0.4836271800086706,51
5,0.518,7.372891261280779,0.48322689201513,51
5,0.519,7.371795525400084,0.4828314888724207,51
5,0.52,7.370704325797205,0.48244103569347496,51
5,0.521,7.369601366814615,0.4820497334467967,51
5,0.522,7.368504408407297,0.48167001402786114,51
5,0.523,7.367430287286565,0.48129477691413414,51
5,0.524,7.3663792757815205,0.48092761545958307,51
5,0.525,7.365300091325651,0.4805647368462578,51
5,0.526,7.364244554613045,0.48020530162886904,51
5,0.527,7.363195436136393,0.47985125170858445,51
5,0.528,7.362153459937242,0.47950499007274616,51
5,0.529,7.361118887095879,0.47916183572697035,51
5,0.53,7.360057446725929,0.4788187306212301,51
5,0.531,7.359038892543115,0.47849249908367,51
5,0.532,7.358063479073117,0.4781629931731897,51
5,0.533,7.357044927135152,0.4778433165033861,51
5,0.534,7.356052074126909,0.477528609936807,51
5,0.535,7.35508516775041,0.4772228657414275,51
5,0.536,7.354109934958889,0.4769199788212709,51
5,0.537,7.353126618328247,0.4766203601195229,51
5,0.538,7.352169976030745,0.47632948266314806,51
5,0.539,7.351205715683986,0.47604427616202005,51
5,0.54,7.35028608541216,0.47576464183576084,51
5,0.541,7.349359303913704,0.47549203787493055,51
5,0.542,7.348442635105156,0.47522562439361593,51
5,0.543,7.347553800793643,0.47497010907200515,51
5,0.544,7.346676001838259,0.47471838465403055,51
5,0.545,7.345791975710325,0.4744710073865215,51
5,0.546,7.344918975292846,0.4742300082488704,51
5,0.547,7.3440572160424065,0.4739954308812091,51
5,0.548,7.343189875968479,0.4737708619904021,51
5,0.549,7.342369178157083,0.4735473939684619,51
5,0.55,7.34154331608331,0.4733321859252153,51
