subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFL,64,hpc,HPC,100,114,180.0,0.2,0.14035087719298245,0.21393034825870647,42.0,False,True,
YFL,65,hpc,HPC,100,114,225.0,0.2,0.17543859649122806,0.03482587064676617,6.0,True,True,
YFL,66,hpc,HPC,100,114,100.0,0.5,0.14035087719298245,0.20398009950248755,40.0,False,True,
YFL,67,hpc,HPC,100,114,75.0,0.2,0.13157894736842105,0.3034825870646766,60.0,False,True,
YFL,68,hpc,HPC,100,114,60.0,0.5,0.14035087719298245,0.1890547263681592,37.0,False,True,
YFL,69,hpc,HPC,100,114,60.0,0.2,0.13157894736842105,0.31840796019900497,63.0,False,True,
YFL,70,hpc,HPC,100,114,150.0,0.8,0.16666666666666666,0.06965174129353234,13.0,False,True,
YFL,71,hpc,HPC,100,114,60.0,0.5,0.19298245614035087,0.03482587064676617,6.0,True,True,
YFL,72,hpc,HPC,100,114,60.0,0.8,0.18421052631578946,0.03980099502487562,7.0,True,True,
YFL,73,hpc,HPC,100,114,150.0,0.2,0.17543859649122806,0.03482587064676617,6.0,True,True,
YFL,74,hpc,HPC,100,114,180.0,0.8,0.11403508771929824,0.46766169154228854,93.0,False,True,
YFL,75,hpc,HPC,100,114,60.0,0.2,0.13157894736842105,0.35323383084577115,70.0,False,True,
YFL,76,hpc,HPC,100,114,60.0,0.2,0.13157894736842105,0.2835820895522388,56.0,False,True,
YFL,77,hpc,HPC,100,114,100.0,0.2,0.18421052631578946,0.01990049751243781,3.0,True,True,
YFL,78,hpc,HPC,100,114,75.0,0.2,0.17543859649122806,0.05472636815920398,10.0,False,True,
YFL,79,ent,ENT,100,114,60.0,0.8,0.10526315789473684,0.6069651741293532,121.0,False,True,
YFL,80,ent,ENT,100,114,100.0,0.5,0.16666666666666666,0.11442786069651742,22.0,False,True,
YFL,81,ent,ENT,100,114,60.0,0.5,0.10526315789473684,0.4577114427860697,91.0,False,True,
YFL,82,ent,ENT,100,114,180.0,0.2,0.13157894736842105,0.3034825870646766,60.0,False,True,
YFL,83,ent,ENT,100,114,225.0,0.5,0.15789473684210525,0.05970149253731343,11.0,False,True,
YFL,84,ent,ENT,100,114,75.0,0.5,0.14912280701754385,0.19900497512437812,39.0,False,True,
YFL,85,ent,ENT,100,114,300.0,0.8,0.15789473684210525,0.07462686567164178,14.0,False,True,
YFL,86,ent,ENT,100,114,100.0,0.2,0.15789473684210525,0.15422885572139303,30.0,False,True,
YFL,87,ent,ENT,100,114,90.0,0.2,0.15789473684210525,0.12437810945273632,24.0,False,True,
YFL,88,ent,ENT,100,114,75.0,0.2,0.14035087719298245,0.17412935323383086,34.0,False,True,
YFL,89,ent,ENT,100,114,180.0,0.2,0.12280701754385964,0.4228855721393035,84.0,False,True,
YFL,90,ent,ENT,100,114,60.0,0.2,0.17543859649122806,0.05970149253731343,11.0,False,True,
YFL,91,ent,ENT,100,114,450.0,0.8,0.14035087719298245,0.16417910447761194,32.0,False,True,
YFL,92,ent,ENT,100,114,100.0,0.5,0.21052631578947367,0.009950248756218905,1.0,True,True,
YFL,93,ent,ENT,100,114,60.0,0.2,0.17543859649122806,0.05472636815920398,10.0,False,True,
YFM,15,hpc,HPC,100,114,75.0,0.2,0.16666666666666666,0.07462686567164178,14.0,False,True,
YFM,16,hpc,HPC,100,114,100.0,0.2,0.21052631578947367,0.014925373134328358,2.0,True,True,
YFM,17,hpc,HPC,100,114,75.0,0.2,0.19298245614035087,0.029850746268656716,5.0,True,True,
YFM,18,hpc,HPC,100,114,180.0,0.2,0.14035087719298245,0.12935323383084577,25.0,False,True,
YFM,19,hpc,HPC,100,114,75.0,0.8,0.17543859649122806,0.07960199004975124,15.0,False,True,
YFM,20,hpc,HPC,100,114,60.0,0.2,0.16666666666666666,0.07462686567164178,14.0,False,True,
YFM,21,hpc,HPC,100,114,100.0,0.2,0.14912280701754385,0.14427860696517414,28.0,False,True,
YFM,22,hpc,HPC,100,114,90.0,0.2,0.10526315789473684,0.5422885572139303,108.0,False,True,
YFM,23,hpc,HPC,100,114,300.0,0.2,0.14035087719298245,0.14427860696517414,28.0,False,True,
YFM,24,hpc,HPC,100,114,100.0,0.2,0.10526315789473684,0.5621890547263682,112.0,False,True,
YFM,25,hpc,HPC,100,114,75.0,0.8,0.15789473684210525,0.14427860696517414,28.0,False,True,
YFM,33,ent,ENT,100,114,180.0,0.5,0.19298245614035087,0.004975124378109453,0.0,True,True,
YFM,34,ent,ENT,100,114,90.0,0.8,0.12280701754385964,0.34328358208955223,68.0,False,True,
YFM,35,ent,ENT,100,114,150.0,0.8,0.17543859649122806,0.03980099502487562,7.0,True,True,
YFM,36,ent,ENT,100,114,60.0,0.2,0.20175438596491227,0.009950248756218905,1.0,True,True,
YFM,37,ent,ENT,100,114,450.0,0.2,0.12280701754385964,0.3781094527363184,75.0,False,True,
YFM,38,ent,ENT,100,114,225.0,0.5,0.21052631578947367,0.004975124378109453,0.0,True,True,
YFM,39,ent,ENT,100,114,60.0,0.5,0.11403508771929824,0.582089552238806,116.0,False,True,
YFM,40,ent,ENT,100,114,100.0,0.2,0.21929824561403508,0.009950248756218905,1.0,True,True,
YFM,41,ent,ENT,100,114,90.0,0.8,0.14035087719298245,0.24875621890547264,49.0,False,True,
YFM,42,ent,ENT,100,114,90.0,0.2,0.18421052631578946,0.03482587064676617,6.0,True,True,
YFM,43,ent,ENT,100,114,100.0,0.2,0.19298245614035087,0.03482587064676617,6.0,True,True,
YFM,44,ent,ENT,100,114,180.0,0.2,0.13157894736842105,0.30845771144278605,61.0,False,True,
YFM,45,ent,ENT,100,114,60.0,0.2,0.13157894736842105,0.373134328358209,74.0,False,True,
YFM,46,ent,ENT,100,114,300.0,0.8,0.09649122807017543,0.4577114427860697,91.0,False,True,
YFM,47,ent,ENT,100,114,100.0,0.2,0.14912280701754385,0.19900497512437812,39.0,False,True,
YFM,48,ent,ENT,100,114,225.0,0.5,0.20175438596491227,0.014925373134328358,2.0,True,True,
YFM,49,ent,ENT,100,114,90.0,0.8,0.12280701754385964,0.40298507462686567,80.0,False,True,
YFM,61,hpc,HPC,100,114,100.0,0.5,0.14912280701754385,0.13930348258706468,27.0,False,True,
YFM,62,hpc,HPC,100,114,90.0,0.2,0.14912280701754385,0.16417910447761194,32.0,False,True,
YFM,63,hpc,HPC,100,114,,,,,,False,False,all parameter combinations returned NaN
YFM,64,hpc,HPC,100,114,150.0,0.2,0.22807017543859648,0.004975124378109453,0.0,True,True,
YFM,65,hpc,HPC,100,114,100.0,0.2,0.20175438596491227,0.014925373134328358,2.0,True,True,
YFM,66,hpc,HPC,100,114,150.0,0.8,0.14912280701754385,0.15422885572139303,30.0,False,True,
YFM,67,hpc,HPC,100,114,300.0,0.2,0.09649122807017543,0.5373134328358209,107.0,False,True,
YFM,68,hpc,HPC,100,114,450.0,0.2,0.12280701754385964,0.2885572139303483,57.0,False,True,
