trial,tCue1,tCue2,tCue3,presentationEnd,tPress1,tPress2,tPress3,keyPress1,keyPress2,keyPress3,choiceEnd,timeFeedback,cue1,cue2,operation,operationFirst,correctAnsw,givenAnsw,correct,correctFb,toExclude,operand1_time,operation_time,operand2_time
117,987510.9,988260.866666667,989010.866666667,989760.866666667,993677.466666667,,,2,,,994277.433333333,994777.433333333,3,5,-,0,-2,2,0,1,0,987510.9,989010.866666667,988260.866666667
118,995277.433333333,996027.4,996794.066666667,997544.066666667,1003043.96666667,,,3,,,1003393.93333333,1003893.93333333,5,8,-,1,-3,3,0,1,0,996027.4,995277.433333333,996794.066666667
119,1004393.93333333,1005143.93333333,1005893.9,1006643.9,1012310.46666667,1012843.8,,1,3.0,,1013460.43333333,1013960.43333333,3,10,-,1,-7,13,0,1,0,1005143.93333333,1004393.93333333,1005893.9
120,1014460.43333333,1015210.43333333,1015960.4,1016710.4,1020110.33333333,1020427.0,,1,5.0,,1020893.63333333,1021393.63333333,7,9,+,1,16,15,0,1,0,1015210.43333333,1014460.43333333,1015960.4
121,1021893.63333333,1022643.63333333,1023393.6,1024143.6,1031526.8,,,0,,,1031943.46666667,1032443.46666667,3,3,+,0,6,0,0,1,0,1021893.63333333,1023393.6,1022643.63333333
122,1032943.43333333,1033693.43333333,1034443.43333333,1035193.4,1043659.93333333,,,6,,,1044093.23333333,1044593.23333333,3,9,-,1,-6,6,0,1,0,1033693.43333333,1032943.43333333,1034443.43333333
123,1045093.23333333,1045843.23333333,1046593.2,1047343.2,1048409.86666667,,,0,,,1048826.5,1049326.5,7,7,-,0,0,0,1,1,0,1045093.23333333,1046593.2,1045843.23333333
124,1049826.5,1050576.46666667,1051326.46666667,1052076.46666667,1053793.1,,,7,,,1054376.4,1054876.4,7,0,+,1,7,7,1,1,0,1050576.46666667,1049826.5,1051326.46666667
125,1055376.4,1056126.36666667,1056876.36666667,1057626.36666667,1059043.0,1059376.33333333,,1,0.0,,1059776.33333333,1060276.3,1,9,+,0,10,10,1,1,0,1055376.4,1056876.36666667,1056126.36666667
126,1060776.3,1061526.3,1062276.26666667,1063026.26666667,1065026.23333333,,,1,,,1065742.9,1066242.86666667,1,0,+,0,1,1,1,1,0,1060776.3,1062276.26666667,1061526.3
127,1066742.86666667,1067492.86666667,1068242.83333333,1068992.83333333,1071026.13333333,,,8,,,1071592.76666667,1072092.76666667,1,7,+,1,8,8,1,1,0,1067492.86666667,1066742.86666667,1068242.83333333
128,1072592.76666667,1073342.76666667,1074092.73333333,1074842.73333333,1076092.73333333,,,6,,,1076559.36666667,1077059.36666667,5,1,+,0,6,6,1,1,0,1072592.76666667,1074092.73333333,1073342.76666667
129,1077559.36666667,1078309.33333333,1079059.33333333,1079825.96666667,1081225.96666667,,,0,,,1081759.26666667,1082259.26666667,0,0,-,0,0,0,1,1,0,1077559.36666667,1079059.33333333,1078309.33333333
130,1082759.26666667,1083509.26666667,1084259.23333333,1085009.23333333,1085909.2,,,0,,,1086359.2,1086859.2,7,7,-,0,0,0,1,1,0,1082759.26666667,1084259.23333333,1083509.26666667
131,1087359.2,1088109.16666667,1088859.16666667,1089609.16666667,1090842.46666667,1091759.1,,1,6.0,,1092259.1,1092775.76666667,10,6,+,1,16,16,1,1,0,1088109.16666667,1087359.2,1088859.16666667
132,1093275.76666667,1094025.73333333,1094775.73333333,1095525.7,1098259.0,,,6,,,1098759.0,1099258.96666667,1,7,-,0,-6,6,0,1,0,1093275.76666667,1094775.73333333,1094025.73333333
133,1099759.0,1100508.96666667,1101258.93333333,1102008.93333333,1106742.2,,,0,,,1107175.5,1107675.5,2,2,+,1,4,0,0,1,0,1100508.96666667,1099759.0,1101258.93333333
134,1108175.5,1108925.5,1109675.46666667,1110425.46666667,1111975.43333333,,,0,,,1112442.1,1112958.73333333,2,2,-,1,0,0,1,1,0,1108925.5,1108175.5,1109675.46666667
135,1113458.73333333,1114208.73333333,1114958.73333333,1115708.7,1117275.33333333,1117708.66666667,,1,3.0,,1118242.0,1118758.63333333,3,10,+,1,13,13,1,1,0,1114208.73333333,1113458.73333333,1114958.73333333
136,1119258.63333333,1120008.63333333,1120758.6,1121508.6,1122425.26666667,,,0,,,1122858.56666667,1123358.56666667,1,1,-,0,0,0,1,1,0,1119258.63333333,1120758.6,1120008.63333333
137,1123858.56666667,1124608.56666667,1125358.53333333,1126108.53333333,1127658.5,1128208.5,,1,3.0,,1128575.13333333,1129075.13333333,3,10,+,0,13,13,1,1,0,1123858.56666667,1125358.53333333,1124608.56666667
138,1129575.13333333,1130325.13333333,1131075.1,1131825.1,1136941.7,,,6,,,1137325.0,1137825.0,10,4,-,1,6,6,1,1,0,1130325.13333333,1129575.13333333,1131075.1
139,1138325.0,1139074.96666667,1139824.96666667,1140591.6,1143074.9,1143324.9,,1,1.0,,1143841.56666667,1144358.2,6,5,+,0,11,11,1,1,0,1138325.0,1139824.96666667,1139074.96666667
140,1144858.2,1145608.2,1146358.16666667,1147108.16666667,1148458.16666667,1148858.13333333,,1,7.0,,1149441.46666667,1149958.1,10,7,+,0,17,17,1,1,0,1144858.2,1146358.16666667,1145608.2
141,1150458.13333333,1151208.1,1151958.1,1152708.06666667,1155624.7,,,8,,,1156191.33333333,1156691.33333333,4,4,+,1,8,8,1,1,0,1151208.1,1150458.13333333,1151958.1
142,1157191.33333333,1157941.3,1158691.3,1159441.3,1160257.93333333,1160691.26666667,,1,8.0,,1161174.6,1161674.56666667,10,8,+,0,18,18,1,1,0,1157191.33333333,1158691.3,1157941.3
143,1162174.6,1162924.56666667,1163674.56666667,1164424.53333333,1167457.83333333,1168074.46666667,,1,3.0,,1168441.13333333,1168941.13333333,4,9,+,0,13,13,1,1,0,1162174.6,1163674.56666667,1162924.56666667
144,1169441.13333333,1170191.1,1170941.1,1171691.06666667,1173207.73333333,,,0,,,1173591.03333333,1174091.03333333,4,0,-,0,4,0,0,1,0,1169441.13333333,1170941.1,1170191.1
145,1174591.03333333,1175341.03333333,1176091.0,1176841.0,1179607.63333333,,,1,,,1180124.26666667,1180624.26666667,1,2,-,1,-1,1,0,1,0,1175341.03333333,1174591.03333333,1176091.0
146,1181124.26666667,1181874.23333333,1182624.23333333,1183374.2,1186074.16666667,,,8,,,1186657.5,1187174.13333333,5,3,+,1,8,8,1,1,0,1181874.23333333,1181124.26666667,1182624.23333333
147,1187674.13333333,1188424.13333333,1189174.13333333,1189924.1,1191757.4,1192240.73333333,,1,2.0,,1192657.4,1193174.03333333,6,6,+,1,12,12,1,1,0,1188424.13333333,1187674.13333333,1189174.13333333
148,1193674.03333333,1194424.03333333,1195174.0,1195924.0,1196890.66666667,,,0,,,1197290.63333333,1197807.3,8,8,-,0,0,0,1,1,0,1193674.03333333,1195174.0,1194424.03333333
149,1198307.3,1199057.26666667,1199807.26666667,1200557.26666667,1206757.16666667,,,3,,,1207207.13333333,1207690.46666667,9,6,-,0,3,3,1,1,0,1198307.3,1199807.26666667,1199057.26666667
150,1208190.46666667,1208940.43333333,1209690.43333333,1210457.1,1212207.06666667,,,9,,,1212723.7,1213223.7,9,0,+,0,9,9,1,1,0,1208190.46666667,1209690.43333333,1208940.43333333
151,1213740.36666667,1214473.7,1215240.33333333,1215990.33333333,1224640.2,,,0,,,1225156.83333333,1225656.83333333,10,0,-,0,10,0,0,1,0,1213740.36666667,1215240.33333333,1214473.7
152,1226156.83333333,1226906.8,1227656.8,1228406.8,1229523.43333333,1229890.1,,1,8.0,,1230523.4,1231023.4,8,10,+,0,18,18,1,1,0,1226156.83333333,1227656.8,1226906.8
153,1231540.06666667,1232290.06666667,1233040.03333333,1233790.03333333,1237473.3,1237973.3,,1,6.0,,1238373.26666667,1238873.26666667,9,7,+,0,16,16,1,1,0,1231540.06666667,1233040.03333333,1232290.06666667
154,1239373.26666667,1240123.23333333,1240873.23333333,1241623.23333333,1246256.46666667,,,4,,,1247606.46666667,1248106.43333333,4,4,-,1,0,4,0,1,0,1240123.23333333,1239373.26666667,1240873.23333333
155,1248606.43333333,1249356.43333333,1250106.43333333,1250856.4,1255573.0,,,0,,,1256056.3,1256572.96666667,8,8,-,0,0,0,1,1,0,1248606.43333333,1250106.43333333,1249356.43333333
156,1257072.96666667,1257822.93333333,1258572.93333333,1259322.93333333,1263672.86666667,,,1,,,1264256.16666667,1264772.83333333,5,6,-,1,-1,1,0,1,0,1257822.93333333,1257072.96666667,1258572.93333333
157,1265272.83333333,1266022.8,1266772.8,1267522.8,1267989.43333333,,,0,,,1268439.43333333,1268956.1,0,4,-,0,-4,0,0,1,0,1265272.83333333,1266772.8,1266022.8
158,1269456.1,1270206.06666667,1270956.06666667,1271706.03333333,1278455.93333333,1278705.93333333,,1,2.0,,1279055.93333333,1279555.9,5,7,-,1,-2,12,0,1,0,1270206.06666667,1269456.1,1270956.06666667
159,1280055.9,1280805.9,1281555.86666667,1282305.86666667,1283572.5,,,2,,,1284005.83333333,1284505.83333333,2,0,+,1,2,2,1,1,0,1280805.9,1280055.9,1281555.86666667
160,1285005.83333333,1285755.8,1286505.8,1287255.76666667,1289939.06666667,1290205.73333333,,1,0.0,,1290655.73333333,1291155.7,7,3,+,1,10,10,1,1,0,1285755.8,1285005.83333333,1286505.8
161,1291655.7,1292405.7,1293155.66666667,1293905.66666667,1294655.66666667,,,0,,,1295038.96666667,1295538.96666667,9,0,-,0,9,0,0,1,0,1291655.7,1293155.66666667,1292405.7
162,1296038.96666667,1296788.96666667,1297538.93333333,1298288.93333333,1303572.16666667,1304372.16666667,,1,7.0,,1304888.8,1305405.46666667,8,9,+,0,17,17,1,1,0,1296038.96666667,1297538.93333333,1296788.96666667
163,1305905.46666667,1306655.46666667,1307405.43333333,1308155.43333333,1310772.06666667,,,9,,,1311255.36666667,1311755.36666667,4,2,+,1,6,9,0,1,0,1306655.46666667,1305905.46666667,1307405.43333333
164,1312255.36666667,1313005.33333333,1313755.33333333,1314505.33333333,1315821.96666667,,,1,,,1316471.93333333,1316988.6,5,4,-,1,1,1,1,1,0,1313005.33333333,1312255.36666667,1313755.33333333
165,1317488.6,1318238.56666667,1318988.56666667,1319738.56666667,1321088.53333333,,,6,,,1321471.86666667,1321988.5,7,1,-,0,6,6,1,1,0,1317488.6,1318988.56666667,1318238.56666667
166,1322488.53333333,1323238.5,1323988.5,1324738.46666667,1325888.46666667,,,0,,,1326288.43333333,1326805.1,3,0,-,1,3,0,0,1,0,1323238.5,1322488.53333333,1323988.5
167,1327305.1,1328055.06666667,1328805.06666667,1329555.06666667,1339854.9,,,0,,,1340271.53333333,1340771.53333333,0,3,-,0,-3,0,0,1,0,1327305.1,1328805.06666667,1328055.06666667
168,1341271.53333333,1342021.5,1342771.5,1343521.5,1344971.46666667,1345421.46666667,,1,7.0,,1346271.43333333,1346771.43333333,7,10,+,0,17,17,1,1,0,1341271.53333333,1342771.5,1342021.5
169,1347271.43333333,1348021.4,1348771.4,1349521.4,1351388.03333333,,,2,,,1352021.33333333,1352521.33333333,4,2,-,1,2,2,1,1,0,1348021.4,1347271.43333333,1348771.4
170,1353021.33333333,1353771.3,1354521.3,1355271.3,1357337.93333333,,,6,,,1357771.23333333,1358271.23333333,6,0,+,1,6,6,1,1,0,1353771.3,1353021.33333333,1354521.3
