subject,region,neuron_id,paper_unit,n_presentations,temporal_accuracy,best_bin_ms,best_gamma,shuffle_mean_accuracy,shuffle_95,p_value,temporal_coding,n_valid_shuffles,q_value,temporal_coding_FDR
YFM,ent,90,91,114,0.18421052631578946,150.0,0.2,0.10692982456140351,0.15789473684210525,0.004975124378109453,True,200,0.1300639658848614,False
YFM,ent,91,92,114,0.17543859649122806,60.0,0.5,0.10087719298245613,0.14956140350877178,0.029850746268656716,True,200,0.160667251975417,False
YFM,ent,92,93,114,0.18421052631578946,60.0,0.2,0.11526315789473685,0.17543859649122806,0.04975124378109453,True,200,0.16964865115416705,False
YFM,ent,93,94,114,0.15789473684210525,60.0,0.2,0.11210526315789475,0.17543859649122806,0.13432835820895522,False,200,0.25695563991887255,False
YFP,hpc,29,30,158,0.13924050632911392,60.0,0.2,0.10905063291139241,0.15822784810126583,0.208955223880597,False,200,0.31954433958341993,False
YFP,hpc,30,31,158,0.1518987341772152,180.0,0.2,0.1075,0.15854430379746826,0.0845771144278607,False,200,0.19843092231151935,False
YFP,hpc,31,32,158,0.14556962025316456,300.0,0.2,0.10395569620253164,0.16455696202531644,0.11442786069651742,False,200,0.23886272061744512,False
YFP,hpc,32,33,158,0.15822784810126583,75.0,0.2,0.10759493670886076,0.16455696202531644,0.07462686567164178,False,200,0.1905588337382853,False
YFP,hpc,33,34,158,0.1518987341772152,90.0,0.5,0.11477848101265824,0.16455696202531644,0.14925373134328357,False,200,0.2722269053404076,False
YFP,hpc,34,35,158,0.14556962025316456,150.0,0.2,0.10620253164556961,0.15854430379746826,0.13930348258706468,False,200,0.2637159032424087,False
YFP,hpc,35,36,158,0.17088607594936708,180.0,0.2,0.10142405063291139,0.15221518987341762,0.03482587064676617,True,200,0.16679958983707416,False
YFP,hpc,36,37,158,0.15822784810126583,75.0,0.8,0.11360759493670886,0.16455696202531644,0.09950248756218906,False,200,0.2193850026973566,False
YFP,hpc,37,38,158,0.14556962025316456,150.0,0.2,0.11297468354430379,0.1712025316455695,0.19900497512437812,False,200,0.3095006553634096,False
YFP,hpc,38,39,158,0.16455696202531644,300.0,0.2,0.12123417721518988,0.1518987341772152,0.014925373134328358,True,200,0.14898236092265943,False
YFP,hpc,39,40,158,0.18354430379746836,60.0,0.8,0.1102848101265823,0.16455696202531644,0.024875621890547265,True,200,0.160667251975417,False
YFP,hpc,40,41,158,0.13291139240506328,150.0,0.8,0.11158227848101265,0.17721518987341772,0.3034825870646766,False,200,0.3856757877280266,False
YFP,hpc,41,42,158,,,,,,,False,0,,False
YFP,hpc,42,43,158,0.12025316455696203,180.0,0.2,0.10585443037974684,0.16455696202531644,0.3333333333333333,False,200,0.4112359550561797,False
YFP,hpc,43,44,158,0.12658227848101267,150.0,0.8,0.10848101265822784,0.16455696202531644,0.2935323383084577,False,200,0.38006899464939453,False
YFP,hpc,44,45,158,0.13924050632911392,180.0,0.2,0.10962025316455697,0.15822784810126583,0.17412935323383086,False,200,0.288812733913514,False
YFP,hpc,45,46,158,0.1518987341772152,225.0,0.8,0.10781645569620252,0.1518987341772152,0.0845771144278607,False,200,0.19843092231151935,False
YFP,hpc,46,47,158,0.12658227848101267,75.0,0.5,0.11765822784810126,0.17721518987341772,0.4079601990049751,False,200,0.4675785996946374,False
YFP,hpc,73,74,158,0.15822784810126583,300.0,0.2,0.10468354430379748,0.15221518987341762,0.05472636815920398,False,200,0.17168443496801705,False
YFP,hpc,74,75,158,0.13924050632911392,180.0,0.8,0.10474683544303798,0.1518987341772152,0.15422885572139303,False,200,0.2767047117354405,False
YFP,hpc,75,76,158,0.12658227848101267,180.0,0.2,0.10772151898734178,0.15221518987341762,0.3283582089552239,False,200,0.4078476396299048,False
YFP,hpc,76,77,158,0.12025316455696203,150.0,0.2,0.10920886075949367,0.16455696202531644,0.373134328358209,False,200,0.4433998836983912,False
