trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
170,1,5,982883.833333333,9,10.0
171,2,6,988350.4,5,5.555555555555555
172,1,8,992750.333333333,8,8.88888888888889
172,2,1,993500.333333333,8,8.88888888888889
173,1,8,999933.566666667,4,4.444444444444445
173,2,8,1000683.53333333,6,6.666666666666666
174,1,3,1005266.8,6,6.666666666666666
175,1,7,1011283.36666667,9,10.0
176,1,9,1016599.96666667,7,7.777777777777778
176,2,6,1017349.93333333,6,6.666666666666666
177,1,4,1022083.2,4,4.444444444444445
177,2,9,1022833.2,4,4.444444444444445
178,2,4,1028649.76666667,8,8.88888888888889
179,1,8,1033049.7,5,5.555555555555555
180,1,4,1038816.26666667,10,11.11111111111111
180,2,5,1039566.26666667,12,13.333333333333332
181,1,6,1043082.86666667,2,2.2222222222222223
181,2,9,1043832.86666667,6,6.666666666666666
182,1,3,1050199.43333333,7,7.777777777777778
183,1,4,1055799.33333333,6,6.666666666666666
183,2,1,1056549.3,7,7.777777777777778
184,1,6,1059982.6,5,5.555555555555555
184,2,4,1060732.6,4,4.444444444444445
185,1,5,1064732.53333333,8,8.88888888888889
185,2,6,1065482.5,7,7.777777777777778
186,1,5,1070865.76666667,10,11.11111111111111
186,2,1,1071615.73333333,9,10.0
187,1,9,1076965.66666667,8,8.88888888888889
187,2,2,1077715.63333333,8,8.88888888888889
188,1,4,1081598.93333333,8,8.88888888888889
188,2,2,1082348.9,4,4.444444444444445
189,1,9,1086298.83333333,8,8.88888888888889
189,2,7,1087048.83333333,5,5.555555555555555
190,1,6,1091482.1,8,8.88888888888889
190,2,1,1092232.06666667,4,4.444444444444445
191,1,7,1096148.7,9,10.0
192,2,8,1102481.9,6,6.666666666666666
193,2,6,1107015.16666667,6,6.666666666666666
194,1,1,1112881.73333333,4,4.444444444444445
194,2,5,1113631.73333333,6,6.666666666666666
195,1,1,1123114.93333333,9,10.0
195,2,9,1123864.9,3,3.333333333333333
196,1,1,1128881.5,4,4.444444444444445
196,2,3,1129631.46666667,5,5.555555555555555
197,1,1,1134164.73333333,15,16.666666666666668
197,2,2,1134914.73333333,9,10.0
199,2,4,1145964.53333333,9,10.0
200,2,8,1151447.8,8,8.88888888888889
201,1,8,1155564.4,19,21.11111111111111
202,1,2,1161814.3,3,3.333333333333333
202,2,9,1162580.93333333,5,5.555555555555555
203,1,9,1167247.53333333,5,5.555555555555555
203,2,5,1167997.53333333,9,10.0
204,1,1,1171347.46666667,4,4.444444444444445
204,2,6,1172097.46666667,5,5.555555555555555
205,1,8,1177097.4,5,5.555555555555555
206,1,7,1182097.3,3,3.333333333333333
206,2,3,1182847.3,3,3.333333333333333
207,1,9,1187047.23333333,3,3.333333333333333
207,2,8,1187797.2,7,7.777777777777778
208,1,5,1191663.83333333,7,7.777777777777778
208,2,4,1192413.8,7,7.777777777777778
209,1,5,1198230.36666667,6,6.666666666666666
209,2,2,1198980.36666667,3,3.333333333333333
210,1,9,1201980.33333333,5,5.555555555555555
210,2,8,1202730.3,6,6.666666666666666
212,1,5,1212996.8,4,4.444444444444445
212,2,5,1213746.8,6,6.666666666666666
213,1,2,1217913.4,4,4.444444444444445
213,2,8,1218663.36666667,3,3.333333333333333
214,2,7,1223013.3,3,3.333333333333333
215,1,3,1227729.9,6,6.666666666666666
215,2,3,1228479.9,11,12.222222222222221
216,1,6,1233313.13333333,8,8.88888888888889
216,2,5,1234063.13333333,2,2.2222222222222223
217,1,5,1237163.1,7,7.777777777777778
217,2,8,1237913.06666667,7,7.777777777777778
218,1,1,1244412.96666667,7,7.777777777777778
218,2,9,1245162.96666667,10,11.11111111111111
219,1,3,1249479.56666667,3,3.333333333333333
220,1,7,1254679.46666667,8,8.88888888888889
220,2,6,1255429.46666667,7,7.777777777777778
221,1,1,1260612.7,6,6.666666666666666
221,2,1,1261362.7,3,3.333333333333333
222,1,4,1264462.63333333,1,1.1111111111111112
222,2,7,1265212.63333333,8,8.88888888888889
223,1,2,1270262.56666667,6,6.666666666666666
223,2,4,1271012.53333333,3,3.333333333333333
224,2,9,1277379.1,2,2.2222222222222223
225,1,3,1280579.06666667,4,4.444444444444445
225,2,1,1281329.03333333,4,4.444444444444445
226,2,9,1286045.63333333,4,4.444444444444445
227,1,1,1290762.23333333,2,2.2222222222222223
228,2,6,1297512.1,7,7.777777777777778
229,1,4,1302295.36666667,12,13.333333333333332
229,2,3,1303045.36666667,6,6.666666666666666
230,1,2,1308995.26666667,4,4.444444444444445
230,2,7,1309745.23333333,1,1.1111111111111112
231,1,4,1314061.86666667,9,10.0
231,2,2,1314811.83333333,8,8.88888888888889
232,2,9,1320428.4,5,5.555555555555555
233,2,5,1325661.66666667,5,5.555555555555555
234,1,7,1332061.56666667,8,8.88888888888889
234,2,6,1332811.53333333,1,1.1111111111111112
235,1,3,1337928.13333333,10,11.11111111111111
235,2,4,1338678.13333333,12,13.333333333333332
236,2,4,1343344.7,9,10.0
237,1,9,1348294.63333333,7,7.777777777777778
237,2,4,1349044.6,10,11.11111111111111
238,1,1,1353144.56666667,4,4.444444444444445
239,1,1,1358077.8,5,5.555555555555555
240,2,3,1362827.73333333,8,8.88888888888889
241,1,5,1367794.33333333,5,5.555555555555555
241,2,3,1368544.3,5,5.555555555555555
242,2,7,1373210.9,4,4.444444444444445
244,1,9,1382677.4,11,12.222222222222221
244,2,2,1383427.4,7,7.777777777777778
245,1,3,1388560.66666667,6,6.666666666666666
246,2,6,1395010.53333333,7,7.777777777777778
247,1,7,1399760.46666667,12,13.333333333333332
248,1,1,1405077.06666667,7,7.777777777777778
248,2,5,1405827.03333333,10,11.11111111111111
249,1,2,1410810.3,14,15.555555555555555
249,2,3,1411560.26666667,7,7.777777777777778
250,1,4,1416976.86666667,5,5.555555555555555
250,2,8,1417726.83333333,6,6.666666666666666
251,1,2,1421776.8,6,6.666666666666666
251,2,6,1422526.76666667,6,6.666666666666666
252,1,6,1426860.03333333,8,8.88888888888889
252,2,3,1427610.03333333,6,6.666666666666666
253,1,1,1432443.26666667,6,6.666666666666666
253,2,4,1433193.26666667,5,5.555555555555555
254,1,7,1437193.2,12,13.333333333333332
254,2,3,1437943.2,11,12.222222222222221
255,1,4,1442609.76666667,5,5.555555555555555
255,2,6,1443359.76666667,7,7.777777777777778
256,2,3,1450126.33333333,9,10.0
257,1,9,1454126.26666667,13,14.444444444444445
258,1,3,1460309.5,5,5.555555555555555
258,2,7,1461076.16666667,6,6.666666666666666
259,1,6,1465442.76666667,8,8.88888888888889
259,2,8,1466192.73333333,8,8.88888888888889
260,1,2,1469809.33333333,2,2.2222222222222223
262,2,7,1481459.16666667,1,1.1111111111111112
263,1,3,1485275.76666667,5,5.555555555555555
263,2,6,1486025.76666667,13,14.444444444444445
264,1,7,1490625.66666667,3,3.333333333333333
264,2,1,1491375.66666667,5,5.555555555555555
265,1,3,1494975.63333333,10,11.11111111111111
265,2,2,1495725.6,6,6.666666666666666
266,1,8,1500558.86666667,13,14.444444444444445
266,2,1,1501308.83333333,5,5.555555555555555
267,1,7,1505775.43333333,9,10.0
268,1,2,1510692.03333333,5,5.555555555555555
268,2,1,1511442.0,15,16.666666666666668
269,1,3,1515991.93333333,7,7.777777777777778
269,2,8,1516741.93333333,5,5.555555555555555
270,1,9,1520358.53333333,13,14.444444444444445
270,2,3,1521108.53333333,8,8.88888888888889
271,1,1,1527241.76666667,4,4.444444444444445
271,2,3,1527991.73333333,4,4.444444444444445
272,1,4,1531991.7,5,5.555555555555555
273,1,5,1537558.26666667,1,1.1111111111111112
273,2,2,1538308.23333333,2,2.2222222222222223
274,2,7,1544108.16666667,6,6.666666666666666
275,1,1,1547958.1,3,3.333333333333333
276,2,1,1554341.33333333,9,10.0
277,1,6,1558341.26666667,5,5.555555555555555
277,2,4,1559091.23333333,5,5.555555555555555
278,1,9,1564241.16666667,7,7.777777777777778
278,2,9,1564991.16666667,6,6.666666666666666
279,1,9,1568857.76666667,4,4.444444444444445
279,2,3,1569607.73333333,7,7.777777777777778
280,2,4,1574607.66666667,5,5.555555555555555
281,1,8,1579857.56666667,6,6.666666666666666
281,2,6,1580607.56666667,3,3.333333333333333
282,1,3,1586540.8,8,8.88888888888889
282,2,3,1587290.8,5,5.555555555555555
283,1,2,1590624.06666667,6,6.666666666666666
283,2,6,1591374.06666667,8,8.88888888888889
284,1,7,1596124.0,6,6.666666666666666
285,1,1,1601523.9,3,3.333333333333333
285,2,1,1602273.9,4,4.444444444444445
286,1,6,1606340.5,9,10.0
287,1,4,1611707.06666667,7,7.777777777777778
288,2,2,1617706.96666667,5,5.555555555555555
289,1,1,1622956.9,8,8.88888888888889
289,2,6,1623706.86666667,10,11.11111111111111
290,1,7,1629406.8,8,8.88888888888889
290,2,4,1630156.76666667,4,4.444444444444445
291,1,2,1634390.03333333,10,11.11111111111111
291,2,9,1635140.03333333,6,6.666666666666666
293,1,9,1647173.16666667,6,6.666666666666666
293,2,4,1647923.16666667,2,2.2222222222222223
294,2,3,1653623.06666667,2,2.2222222222222223
295,1,9,1657573.0,5,5.555555555555555
295,2,1,1658323.0,4,4.444444444444445
296,1,4,1662356.26666667,6,6.666666666666666
296,2,5,1663106.26666667,10,11.11111111111111
297,1,4,1667956.16666667,7,7.777777777777778
297,2,9,1668706.16666667,6,6.666666666666666
298,1,1,1675256.06666667,7,7.777777777777778
298,2,3,1676006.03333333,2,2.2222222222222223
299,1,6,1680005.96666667,5,5.555555555555555
