trial_index,operand,number,TC1,TC2
201.0,1.0,7,0.819859557168687,-0.23487834381072525
201.0,2.0,9,0.6015059780588689,0.28729678567429473
202.0,1.0,9,1.0019695817369272,-0.1018727265549539
202.0,2.0,2,-0.4978404299236113,-0.010596319422084534
203.0,1.0,4,-0.1479559479094774,-1.1946004994377584
203.0,2.0,7,-0.24960254712534927,0.5278421131379267
204.0,1.0,8,0.17050081399774966,-1.4336559206422008
204.0,2.0,5,-0.3334448054477919,0.5180391158516471
205.0,1.0,2,1.1528093838603797,0.06265188230646491
205.0,2.0,1,0.6331581414378137,1.084641411391991
206.0,1.0,5,0.08755672979481968,-1.4560166505267145
206.0,2.0,1,0.2528505283901518,-0.9399389478512171
207.0,1.0,8,1.7855643299347799,0.3442816843278529
208.0,1.0,2,0.5858003550818444,-0.642408721734027
208.0,2.0,7,0.18320954493885683,2.1705584366346415
209.0,2.0,1,1.784351771742221,-0.04883817575883621
210.0,1.0,7,1.68484295875534,-0.8033141269458838
210.0,2.0,4,0.3677611600450726,0.2854440004359161
211.0,1.0,5,0.6503563083448788,1.530432943295609
211.0,2.0,2,2.0159693832910883,2.3768122556189626
212.0,1.0,2,1.3856560277546635,0.07706240014307754
213.0,2.0,2,0.5837286910823589,-0.8379382957149283
214.0,1.0,4,1.2861081464551962,-0.8624461045515238
214.0,2.0,1,-0.06737998759637262,2.3136242656851222
215.0,2.0,3,0.985747725574547,-0.19015688404169784
216.0,1.0,9,1.584408917732027,1.3122483457164906
216.0,2.0,7,-0.6350568528335861,0.6121759227672301
217.0,1.0,6,-0.01675590323106554,0.5422526309745394
217.0,2.0,6,-0.41756237953069464,0.28759107938799805
218.0,1.0,1,0.4362121794635369,-0.2287809170012028
218.0,2.0,7,1.7855643299347799,0.3442816843278529
219.0,1.0,2,-0.03246152620809003,-0.38745287643378246
220.0,1.0,8,0.517943705473908,-0.5995400472033781
220.0,2.0,5,-1.6013063473335596,0.6362837734193632
221.0,1.0,5,-0.46497570835210783,1.1798681663823012
222.0,1.0,1,-2.136955002646468,3.3122825295470735
222.0,2.0,3,-0.38465858964660504,1.6630881186999376
223.0,1.0,9,0.3016617903635754,0.11816465626254295
223.0,2.0,6,-1.1516495407479206,2.1340814826272188
224.0,1.0,1,0.8041539341916625,-1.164583851219047
224.0,2.0,5,0.4519178024405614,0.7009245904071191
225.0,2.0,5,-0.9339023458442974,-0.9592506487100732
226.0,1.0,6,1.1685150068374042,0.9923573897147867
226.0,2.0,8,-0.4483554371027127,-0.7073438324354863
228.0,1.0,4,-0.04753838103902238,-0.5058031984722577
228.0,2.0,7,0.2510541801511263,-0.914823482654749
229.0,1.0,2,0.9703174183579826,-0.8992173522726502
229.0,2.0,9,0.21907115854627765,0.6865140725705065
230.0,1.0,7,0.2688361371046581,-0.8872672760342886
230.0,2.0,2,-2.4521004884447315,1.2825066935679181
231.0,2.0,8,0.6015059780588689,0.28729678567429473
232.0,1.0,9,0.10204979457928533,-0.919431003205082
233.0,1.0,8,1.0680689514184243,0.06540661761841927
233.0,2.0,5,1.1856741054318833,1.2531163681108506
234.0,1.0,1,-1.350402430725284,0.8988955370538056
234.0,2.0,9,0.20305115149620706,-0.6488690275227387
235.0,2.0,9,-0.34883604435177035,-0.005988798871751532
236.0,1.0,2,-0.7324549335083957,0.23826209906863766
236.0,2.0,2,-0.3153484644212141,0.9512729151570308
237.0,1.0,7,0.48836320609444883,-1.2013550989401733
237.0,2.0,5,-0.9294399637952586,-1.2601927828321102
238.0,1.0,5,1.3343641069306782,0.8520462959762602
238.0,2.0,5,-0.3837994838396785,1.4654978325941497
239.0,1.0,1,0.21996933266579036,0.6739563399722723
239.0,2.0,1,0.6856626204543578,0.7027773756454976
240.0,2.0,2,-1.2004998710339303,0.8909453250059045
241.0,2.0,2,0.2836435859621699,0.05499596397226715
242.0,1.0,7,-0.08551072695851478,0.5976790381034223
242.0,2.0,2,-0.3171448126602396,0.9763883803534988
244.0,1.0,2,-1.0165544299140787,1.1838680305727618
244.0,2.0,1,1.8172555616263106,1.3266588635531034
245.0,1.0,6,-1.6022045214530722,0.6488415060175973
245.0,2.0,3,-1.7002704385865601,-0.7214600565583956
246.0,1.0,2,0.4015631240486749,1.6483833071496217
246.0,2.0,5,-1.15045957671509,-0.46219098442152134
247.0,1.0,1,2.1333216054839843,1.584075150451599
247.0,2.0,7,0.5861147391548907,-0.23673112904910384
248.0,1.0,6,3.2329089308913606,0.819901866449031
248.0,2.0,3,-0.5005064637336246,0.26523034950348434
249.0,1.0,9,0.6690588233578206,-0.21437039916459014
249.0,2.0,1,-0.1150912263379739,-0.00413601363337292
250.0,1.0,3,-0.9321059976052719,-0.9843661139065414
250.0,2.0,8,0.05169511618739878,0.028027713537420437
251.0,1.0,1,-0.41666420541118193,0.275033346789764
251.0,2.0,3,-0.4676026738495351,1.640727388815424
252.0,1.0,2,0.45101962832104864,0.7134823230053531
253.0,1.0,1,-1.2013980451534432,0.9035030576041384
253.0,2.0,3,-0.7990990249237734,0.6742506336859758
254.0,1.0,7,1.2514590910403343,1.0147181195993007
254.0,2.0,2,-0.6009405047569377,2.380792822165859
255.0,1.0,8,-0.5150160026709482,2.5330044758097268
255.0,2.0,9,1.5518195119209834,0.34242889908947427
256.0,2.0,8,0.06439183273283902,0.5897288260555212
257.0,1.0,2,-0.7330387235548624,0.6564974243517949
257.0,2.0,4,0.6699569974773333,-0.22692813176282417
258.0,1.0,2,0.7212098499887325,-1.1869445811035606
259.0,1.0,6,0.6542513745003088,-1.1566336391711458
259.0,2.0,6,-0.013444627122102117,-1.726578626209058
260.0,1.0,2,1.43601070614655,-0.870396316599425
260.0,2.0,4,0.7357029147731982,-0.6503589337819281
261.0,1.0,5,0.5532500175833871,-1.4271956148534892
261.0,2.0,6,-2.216043089006554,0.41782266368825094
262.0,2.0,2,-0.6145474098175577,-1.2108638025127496
263.0,1.0,1,0.21875677447323155,0.28083647988558313
264.0,1.0,5,-0.14885412202899012,-1.1820427668395244
264.0,2.0,9,-0.3672077011388082,-0.6598676373545045
265.0,1.0,6,-0.3479378702322576,-0.018546531469985583
265.0,2.0,1,-1.0994985141170086,1.1615073006882481
266.0,2.0,4,0.10204979457928533,-0.919431003205082
267.0,1.0,9,0.3678002283576587,0.4704765539434701
268.0,1.0,7,0.35416626938011964,-0.26369937948395056
268.0,2.0,4,-0.014673659467518942,0.6846612873321277
269.0,1.0,3,1.234540909870751,-0.3081072478957105
269.0,2.0,9,0.10204979457928533,-0.919431003205082
270.0,1.0,5,0.6651637572023905,2.4726961833021646
270.0,2.0,1,-1.3657936696292625,0.374867622330407
271.0,2.0,5,-1.4671094106192304,-0.3013719460368598
272.0,1.0,4,0.5028562708789144,-0.6647694516185407
273.0,1.0,3,0.18499387878221535,-0.8970702733205683
273.0,2.0,8,-0.8645531523063203,-1.4860332987454261
274.0,1.0,3,0.13581269027030157,0.2584757500010694
274.0,2.0,2,0.4006649499291622,1.6609410397478557
275.0,2.0,2,-0.04695459099255569,-0.924038523755415
276.0,1.0,4,0.11865359167582248,-0.0022832283949943523
276.0,2.0,2,0.6699569974773333,-0.22692813176282417
277.0,2.0,4,0.4874650319749361,-1.1887973663419393
278.0,1.0,6,-2.2699619753279667,1.6536657819545566
278.0,2.0,9,-0.3648169830892548,-1.1563393454574427
279.0,1.0,8,-0.49719518762466125,-2.0036009076801133
279.0,2.0,5,-0.09793212774349488,0.2566229647626908
280.0,1.0,6,-1.1468953687855639,-0.7505753859453242
280.0,2.0,7,-1.4828150335962549,-1.2310774534451816
281.0,1.0,3,1.1528093838603797,0.06265188230646491
281.0,2.0,4,-0.6995902119368922,1.4287265848730233
282.0,1.0,5,1.60189887455241,-0.8256748568303975
282.0,2.0,1,0.6847644463348451,0.7153351082437317
283.0,1.0,1,0.01910571037635532,-0.9417917330895957
