neuron_id,n_presentations,n_folds,fr_accuracy,shuffle_mean_accuracy,n_extreme,p_value,fr_coding,subject,region,paper_unit,n_valid_shuffles
20,114,4,0.03508771929824561,0.10100877192982455,199.0,0.9950248756218906,False,YFM,hpc,21,200.0
21,114,4,0.07894736842105263,0.10315789473684209,175.0,0.8756218905472637,False,YFM,hpc,22,200.0
22,114,4,0.043859649122807015,0.09692982456140349,199.0,0.9950248756218906,False,YFM,hpc,23,200.0
23,114,4,0.10526315789473684,0.10635964912280702,109.0,0.5472636815920398,False,YFM,hpc,24,200.0
24,114,4,0.07894736842105263,0.09837719298245613,170.0,0.8507462686567164,False,YFM,hpc,25,200.0
25,114,4,0.11403508771929824,0.10057017543859649,77.0,0.3880597014925373,False,YFM,hpc,26,200.0
33,114,4,0.14912280701754385,0.10583333333333332,25.0,0.12935323383084577,False,YFM,ent,34,200.0
34,114,4,0.13157894736842105,0.0975,30.0,0.15422885572139303,False,YFM,ent,35,200.0
35,114,4,0.14912280701754385,0.09263157894736841,11.0,0.05970149253731343,False,YFM,ent,36,200.0
36,114,4,0.11403508771929824,0.10381578947368421,81.0,0.4079601990049751,False,YFM,ent,37,200.0
37,114,4,0.16666666666666666,0.10438596491228068,12.0,0.06467661691542288,False,YFM,ent,38,200.0
38,114,4,0.13157894736842105,0.1044736842105263,47.0,0.23880597014925373,False,YFM,ent,39,200.0
39,114,4,0.10526315789473684,0.10394736842105264,104.0,0.5223880597014925,False,YFM,ent,40,200.0
40,114,4,0.14035087719298245,0.10008771929824561,27.0,0.13930348258706468,False,YFM,ent,41,200.0
41,114,4,0.07017543859649122,0.10412280701754384,179.0,0.8955223880597015,False,YFM,ent,42,200.0
42,114,4,0.18421052631578946,0.14,16.0,0.0845771144278607,False,YFM,ent,43,200.0
43,114,4,0.14035087719298245,0.10754385964912279,37.0,0.1890547263681592,False,YFM,ent,44,200.0
44,114,4,0.08771929824561403,0.10530701754385964,152.0,0.7611940298507462,False,YFM,ent,45,200.0
45,114,4,0.13157894736842105,0.10539473684210524,49.0,0.24875621890547264,False,YFM,ent,46,200.0
46,114,4,0.05263157894736842,0.08859649122807017,189.0,0.945273631840796,False,YFM,ent,47,200.0
47,114,4,0.08771929824561403,0.1012280701754386,139.0,0.6965174129353234,False,YFM,ent,48,200.0
48,114,4,0.08771929824561403,0.10153508771929824,144.0,0.7213930348258707,False,YFM,ent,49,200.0
49,114,4,0.08771929824561403,0.10719298245614034,156.0,0.7810945273631841,False,YFM,ent,50,200.0
61,114,4,0.08771929824561403,0.10315789473684209,142.0,0.7114427860696517,False,YFM,hpc,62,200.0
62,114,4,0.07017543859649122,0.10254385964912281,180.0,0.900497512437811,False,YFM,hpc,63,200.0
63,114,4,,,,,False,YFM,hpc,64,0.0
64,114,4,0.07894736842105263,0.1067982456140351,170.0,0.8507462686567164,False,YFM,hpc,65,200.0
65,114,4,0.10526315789473684,0.10087719298245613,88.0,0.4427860696517413,False,YFM,hpc,66,200.0
66,114,4,0.11403508771929824,0.10464912280701753,82.0,0.4129353233830846,False,YFM,hpc,67,200.0
67,114,4,0.05263157894736842,0.10903508771929825,194.0,0.9701492537313433,False,YFM,hpc,68,200.0
68,114,4,0.07894736842105263,0.09736842105263158,155.0,0.7761194029850746,False,YFM,hpc,69,200.0
69,114,4,0.07017543859649122,0.1019736842105263,177.0,0.8855721393034826,False,YFM,hpc,70,200.0
70,114,4,0.12280701754385964,0.10214912280701753,54.0,0.2736318407960199,False,YFM,hpc,71,200.0
71,114,4,0.10526315789473684,0.09618421052631579,73.0,0.3681592039800995,False,YFM,hpc,72,200.0
72,114,4,0.09649122807017543,0.10517543859649123,131.0,0.6567164179104478,False,YFM,hpc,73,200.0
73,114,4,0.16666666666666666,0.10276315789473683,5.0,0.029850746268656716,True,YFM,hpc,74,200.0
74,114,4,0.15789473684210525,0.08850877192982455,14.0,0.07462686567164178,False,YFM,hpc,75,200.0
75,114,4,0.16666666666666666,0.15784856879039705,120.0,0.6335078534031413,False,YFM,hpc,76,190.0
76,114,4,0.16666666666666666,0.15616834639790966,111.0,0.5925925925925926,False,YFM,hpc,77,188.0
77,114,4,0.06140350877192982,0.12973684210526315,195.0,0.9751243781094527,False,YFM,hpc,78,200.0
78,114,4,0.08771929824561403,0.10267543859649124,140.0,0.7014925373134329,False,YFM,hpc,79,200.0
79,114,4,0.10526315789473684,0.10030701754385966,86.0,0.43283582089552236,False,YFM,hpc,80,200.0
80,114,4,0.15789473684210525,0.10346491228070175,9.0,0.04975124378109453,True,YFM,hpc,81,200.0
81,114,4,0.11403508771929824,0.10263157894736841,81.0,0.4079601990049751,False,YFM,hpc,82,200.0
82,114,4,0.08771929824561403,0.10135964912280702,143.0,0.7164179104477612,False,YFM,ent,83,200.0
83,114,4,0.14912280701754385,0.08828947368421053,6.0,0.03482587064676617,True,YFM,ent,84,200.0
