Subject,Region,Neuron,IsTuned
YFU,hpc,21,1
YFU,hpc,22,0
YFU,hpc,23,0
YFU,hpc,24,0
YFU,hpc,25,0
YFU,hpc,26,0
YFU,hpc,27,1
YFU,hpc,28,0
YFU,hpc,29,1
YFU,hpc,30,1
YFU,hpc,31,1
YFU,hpc,32,1
YFU,hpc,33,1
YFU,hpc,34,0
YFU,hpc,35,0
YFU,hpc,36,0
YFU,hpc,37,0
YFU,hpc,38,1
YFU,hpc,39,1
YFU,hpc,40,0
YFU,hpc,41,0
YFU,hpc,42,1
YFU,amy,43,1
YFU,amy,44,0
YFU,amy,45,0
YFU,amy,46,0
YFU,amy,47,0
YFU,amy,48,1
YFU,amy,49,0
YFU,amy,50,0
YFU,amy,51,1
YFU,amy,52,1
YFU,amy,53,1
YFU,hpc,54,1
YFU,hpc,55,0
YFU,hpc,56,1
YFU,hpc,57,0
YFU,hpc,58,0
YFU,hpc,59,0
YFU,hpc,60,0
YFU,hpc,61,1
YFU,hpc,62,1
YFU,hpc,63,0
YFU,hpc,64,0
YFU,hpc,65,0
YFU,hpc,66,0
YFU,hpc,67,1
YFU,hpc,68,1
YFU,hpc,69,1
