trial_index,operand,number,onset_ms,spike_count,firing_rate_hz
138,1,6,1138325.0,9,10.0
138,2,5,1139074.96666667,17,18.88888888888889
139,2,7,1145608.2,8,8.88888888888889
140,1,4,1151208.1,16,17.77777777777778
140,2,4,1151958.1,13,14.444444444444445
141,2,8,1157941.3,15,16.666666666666668
142,1,4,1162174.6,18,20.0
142,2,9,1162924.56666667,19,21.11111111111111
143,1,4,1169441.13333333,24,26.666666666666664
144,1,1,1175341.03333333,26,28.88888888888889
144,2,2,1176091.0,14,15.555555555555555
145,1,5,1181874.23333333,27,30.0
145,2,3,1182624.23333333,16,17.77777777777778
146,1,6,1188424.13333333,21,23.333333333333332
146,2,6,1189174.13333333,21,23.333333333333332
147,1,8,1193674.03333333,38,42.22222222222222
147,2,8,1194424.03333333,28,31.11111111111111
148,1,9,1198307.3,22,24.444444444444443
148,2,6,1199057.26666667,13,14.444444444444445
149,1,9,1208190.46666667,17,18.88888888888889
151,1,8,1226156.83333333,23,25.555555555555554
152,1,9,1231540.06666667,19,21.11111111111111
152,2,7,1232290.06666667,12,13.333333333333332
153,1,4,1240123.23333333,15,16.666666666666668
153,2,4,1240873.23333333,17,18.88888888888889
154,1,8,1248606.43333333,14,15.555555555555555
154,2,8,1249356.43333333,20,22.22222222222222
155,1,5,1257822.93333333,11,12.222222222222221
155,2,6,1258572.93333333,14,15.555555555555555
156,2,4,1266022.8,23,25.555555555555554
157,1,5,1270206.06666667,15,16.666666666666668
157,2,7,1270956.06666667,21,23.333333333333332
158,1,2,1280805.9,20,22.22222222222222
159,1,7,1285755.8,15,16.666666666666668
159,2,3,1286505.8,16,17.77777777777778
160,1,9,1291655.7,29,32.22222222222222
161,1,8,1296038.96666667,19,21.11111111111111
161,2,9,1296788.96666667,18,20.0
162,1,4,1306655.46666667,14,15.555555555555555
162,2,2,1307405.43333333,11,12.222222222222221
163,1,5,1313005.33333333,14,15.555555555555555
163,2,4,1313755.33333333,17,18.88888888888889
164,1,7,1317488.6,22,24.444444444444443
164,2,1,1318238.56666667,18,20.0
165,1,3,1323238.5,18,20.0
