subject,neuron,region_raw,best_bin_ms,best_gamma,fr_accuracy,temporal_accuracy,accuracy_improvement
YFK,28,hpc,225.0,0.2,0.14035087719298245,0.18421052631578946,0.043859649122807015
YFK,29,hpc,100.0,0.8,0.13157894736842105,0.16666666666666666,0.03508771929824561
YFK,30,hpc,180.0,0.8,0.10526315789473684,0.16666666666666666,0.06140350877192982
YFK,31,hpc,300.0,0.8,0.14035087719298245,0.15789473684210525,0.017543859649122806
YFK,32,hpc,75.0,0.2,0.07894736842105263,0.10526315789473684,0.02631578947368421
YFK,33,hpc,180.0,0.5,0.11403508771929824,0.14912280701754385,0.03508771929824561
YFK,34,para-hpc,225.0,0.8,0.13157894736842105,0.14912280701754385,0.017543859649122806
YFK,35,para-hpc,150.0,0.8,0.05263157894736842,0.14912280701754385,0.09649122807017543
YFK,36,para-hpc,300.0,0.5,0.15789473684210525,0.20175438596491227,0.043859649122807015
YFK,37,para-hpc,100.0,0.2,0.14912280701754385,0.17543859649122806,0.02631578947368421
YFK,38,para-hpc,900.0,0.2,0.14035087719298245,0.14035087719298245,0.0
YFK,39,para-hpc,60.0,0.5,0.03508771929824561,0.21929824561403508,0.18421052631578946
YFK,40,para-hpc,60.0,0.5,0.13157894736842105,0.15789473684210525,0.02631578947368421
YFK,41,para-hpc,60.0,0.8,0.08771929824561403,0.11403508771929824,0.02631578947368421
YFK,42,para-hpc,225.0,0.2,0.12280701754385964,0.19298245614035087,0.07017543859649122
YFK,43,para-hpc,90.0,0.5,0.14035087719298245,0.16666666666666666,0.02631578947368421
YFK,44,para-hpc,100.0,0.5,0.06140350877192982,0.12280701754385964,0.06140350877192982
YFK,45,para-hpc,180.0,0.2,0.11403508771929824,0.18421052631578946,0.07017543859649122
YFK,46,para-hpc,180.0,0.5,0.043859649122807015,0.14912280701754385,0.10526315789473684
YFK,47,hpc,150.0,0.2,0.11403508771929824,0.15789473684210525,0.043859649122807015
YFK,48,hpc,60.0,0.5,0.07894736842105263,0.19298245614035087,0.11403508771929824
YFK,49,hpc,225.0,0.8,0.11403508771929824,0.15789473684210525,0.043859649122807015
YFK,50,hpc,900.0,0.2,0.08771929824561403,0.08771929824561403,0.0
YFK,51,hpc,90.0,0.2,0.11403508771929824,0.21052631578947367,0.09649122807017543
YFK,52,hpc,900.0,0.2,0.14912280701754385,0.14912280701754385,0.0
YFK,53,hpc,60.0,0.2,0.11403508771929824,0.12280701754385964,0.008771929824561403
YFK,54,hpc,150.0,0.2,0.11403508771929824,0.14912280701754385,0.03508771929824561
YFK,55,hpc,90.0,0.8,0.16666666666666666,0.16666666666666666,0.0
YFK,56,hpc,60.0,0.2,0.14912280701754385,0.15789473684210525,0.008771929824561403
YFK,57,hpc,225.0,0.8,0.13157894736842105,0.18421052631578946,0.05263157894736842
YFK,58,hpc,450.0,0.2,0.14035087719298245,0.15789473684210525,0.017543859649122806
YFK,59,hpc,100.0,0.2,0.13157894736842105,0.17543859649122806,0.043859649122807015
YFK,60,hpc,100.0,0.8,0.13157894736842105,0.16666666666666666,0.03508771929824561
YFK,61,hpc,60.0,0.2,0.14035087719298245,0.14912280701754385,0.008771929824561403
YFK,62,hpc,90.0,0.2,0.13157894736842105,0.14035087719298245,0.008771929824561403
YFK,63,para-hpc,100.0,0.8,0.07017543859649122,0.07017543859649122,0.0
YFK,64,para-hpc,60.0,0.2,0.07894736842105263,0.14912280701754385,0.07017543859649122
YFK,65,para-hpc,180.0,0.2,0.11403508771929824,0.14035087719298245,0.02631578947368421
YFK,66,para-hpc,75.0,0.2,0.12280701754385964,0.13157894736842105,0.008771929824561403
YFK,67,para-hpc,180.0,0.2,0.08771929824561403,0.13157894736842105,0.043859649122807015
YFL,19,hpc,225.0,0.2,0.11403508771929824,0.13157894736842105,0.017543859649122806
YFL,20,hpc,100.0,0.2,0.15789473684210525,0.15789473684210525,0.0
YFL,21,hpc,180.0,0.2,0.12280701754385964,0.14035087719298245,0.017543859649122806
