subject,neuron,region_raw,region,fr_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason
YFK,56,hpc,HPC,0.14912280701754385,,,False,False,1 permutation accuracies were NaN
YFK,57,hpc,HPC,0.13157894736842105,0.1890547263681592,37.0,False,True,
YFK,58,hpc,HPC,0.14035087719298245,0.14925373134328357,29.0,False,True,
YFK,59,hpc,HPC,0.13157894736842105,0.1890547263681592,37.0,False,True,
YFK,60,hpc,HPC,0.13157894736842105,0.18407960199004975,36.0,False,True,
YFK,61,hpc,HPC,0.14035087719298245,0.14427860696517414,28.0,False,True,
YFK,62,hpc,HPC,0.13157894736842105,0.21890547263681592,43.0,False,True,
YFK,63,para-hpc,PARA-HPC,0.07017543859649122,0.6467661691542289,129.0,False,True,
YFK,64,para-hpc,PARA-HPC,0.07894736842105263,0.6965174129353234,139.0,False,True,
YFK,65,para-hpc,PARA-HPC,0.11403508771929824,0.26865671641791045,53.0,False,True,
YFK,66,para-hpc,PARA-HPC,0.12280701754385964,0.2736318407960199,54.0,False,True,
YFK,67,para-hpc,PARA-HPC,0.08771929824561403,0.6417910447761194,128.0,False,True,
YFL,19,hpc,HPC,0.11403508771929824,0.31840796019900497,63.0,False,True,
YFL,20,hpc,HPC,0.15789473684210525,0.417910447761194,83.0,False,True,
YFL,21,hpc,HPC,0.12280701754385964,0.4527363184079602,90.0,False,True,
YFL,22,hpc,HPC,0.08771929824561403,0.7412935323383084,148.0,False,True,
YFL,23,hpc,HPC,0.13157894736842105,0.17412935323383086,34.0,False,True,
YFL,24,hpc,HPC,0.09649122807017543,0.5522388059701493,110.0,False,True,
YFL,25,hpc,HPC,0.09649122807017543,0.6019900497512438,120.0,False,True,
YFL,26,hpc,HPC,0.14912280701754385,0.07960199004975124,15.0,False,True,
YFL,27,hpc,HPC,,,,False,False,observed firing-rate decoding returned NaN
YFL,28,hpc,HPC,0.08771929824561403,0.5920398009950248,118.0,False,True,
YFL,29,hpc,HPC,0.12280701754385964,0.3283582089552239,65.0,False,True,
YFL,30,hpc,HPC,0.14035087719298245,0.1890547263681592,37.0,False,True,
YFL,31,hpc,HPC,0.06140350877192982,0.8756218905472637,175.0,False,True,
YFL,32,hpc,HPC,0.16666666666666666,0.024875621890547265,4.0,True,True,
YFL,33,hpc,HPC,0.11403508771929824,0.4527363184079602,90.0,False,True,
YFL,34,hpc,HPC,0.07017543859649122,0.8756218905472637,175.0,False,True,
YFL,35,hpc,HPC,0.09649122807017543,0.6268656716417911,125.0,False,True,
YFL,36,hpc,HPC,0.10526315789473684,0.5124378109452736,102.0,False,True,
YFL,37,hpc,HPC,0.06140350877192982,0.9552238805970149,191.0,False,True,
YFL,38,hpc,HPC,0.13157894736842105,0.22885572139303484,45.0,False,True,
YFL,39,hpc,HPC,0.11403508771929824,0.25870646766169153,51.0,False,True,
YFL,58,hpc,HPC,0.08771929824561403,0.7860696517412935,157.0,False,True,
YFL,59,hpc,HPC,0.10526315789473684,0.4129353233830846,82.0,False,True,
YFL,60,hpc,HPC,0.07894736842105263,0.8258706467661692,165.0,False,True,
YFL,61,hpc,HPC,0.06140350877192982,0.9552238805970149,191.0,False,True,
YFL,62,hpc,HPC,0.07894736842105263,0.8407960199004975,168.0,False,True,
YFL,63,hpc,HPC,0.09649122807017543,0.6318407960199005,126.0,False,True,
YFL,64,hpc,HPC,0.10526315789473684,0.5024875621890548,100.0,False,True,
YFL,65,hpc,HPC,0.11403508771929824,0.3383084577114428,67.0,False,True,
YFL,66,hpc,HPC,0.08771929824561403,0.7412935323383084,148.0,False,True,
YFL,67,hpc,HPC,0.02631578947368421,1.0,200.0,False,True,
YFL,68,hpc,HPC,0.08771929824561403,0.6865671641791045,137.0,False,True,
YFL,69,hpc,HPC,0.06140350877192982,0.9054726368159204,181.0,False,True,
YFL,70,hpc,HPC,0.10526315789473684,0.48258706467661694,96.0,False,True,
YFL,71,hpc,HPC,0.13157894736842105,0.18407960199004975,36.0,False,True,
YFL,72,hpc,HPC,0.05263157894736842,0.9751243781094527,195.0,False,True,
YFL,73,hpc,HPC,0.08771929824561403,0.7213930348258707,144.0,False,True,
YFL,74,hpc,HPC,0.07017543859649122,0.8955223880597015,179.0,False,True,
YFL,75,hpc,HPC,0.09649122807017543,0.6417910447761194,128.0,False,True,
YFL,76,hpc,HPC,0.08771929824561403,0.7562189054726368,151.0,False,True,
YFL,77,hpc,HPC,0.10526315789473684,0.5422885572139303,108.0,False,True,
YFL,78,hpc,HPC,0.09649122807017543,0.6268656716417911,125.0,False,True,
YFL,79,ent,ENT,0.06140350877192982,0.9402985074626866,188.0,False,True,
YFL,80,ent,ENT,0.05263157894736842,0.9850746268656716,197.0,False,True,
YFL,81,ent,ENT,0.07894736842105263,0.7263681592039801,145.0,False,True,
YFL,82,ent,ENT,0.12280701754385964,0.29850746268656714,59.0,False,True,
YFL,83,ent,ENT,0.14912280701754385,0.13432835820895522,26.0,False,True,
YFL,84,ent,ENT,0.11403508771929824,0.417910447761194,83.0,False,True,
YFL,85,ent,ENT,0.08771929824561403,0.7114427860696517,142.0,False,True,
YFL,86,ent,ENT,0.05263157894736842,0.9552238805970149,191.0,False,True,
YFL,87,ent,ENT,0.13157894736842105,0.23880597014925373,47.0,False,True,
YFL,88,ent,ENT,0.06140350877192982,0.9303482587064676,186.0,False,True,
YFL,89,ent,ENT,0.08771929824561403,0.7910447761194029,158.0,False,True,
YFL,90,ent,ENT,0.07894736842105263,0.845771144278607,169.0,False,True,
YFL,91,ent,ENT,0.08771929824561403,0.736318407960199,147.0,False,True,
YFL,92,ent,ENT,0.13157894736842105,0.20398009950248755,40.0,False,True,
YFL,93,ent,ENT,0.13157894736842105,0.208955223880597,41.0,False,True,
YFM,15,hpc,HPC,0.07017543859649122,0.8905472636815921,178.0,False,True,
YFM,16,hpc,HPC,0.11403508771929824,0.39303482587064675,78.0,False,True,
YFM,17,hpc,HPC,0.06140350877192982,0.9601990049751243,192.0,False,True,
YFM,18,hpc,HPC,0.07894736842105263,0.736318407960199,147.0,False,True,
YFM,19,hpc,HPC,0.12280701754385964,0.31343283582089554,62.0,False,True,
YFM,20,hpc,HPC,0.05263157894736842,0.9850746268656716,197.0,False,True,
YFM,21,hpc,HPC,0.07894736842105263,0.8706467661691543,174.0,False,True,
YFM,22,hpc,HPC,0.043859649122807015,0.9701492537313433,194.0,False,True,
YFM,23,hpc,HPC,0.07017543859649122,0.9054726368159204,181.0,False,True,
YFM,24,hpc,HPC,0.07894736842105263,0.8159203980099502,163.0,False,True,
YFM,25,hpc,HPC,0.14035087719298245,0.13432835820895522,26.0,False,True,
YFM,33,ent,ENT,0.09649122807017543,0.6368159203980099,127.0,False,True,
YFM,34,ent,ENT,0.11403508771929824,0.3582089552238806,71.0,False,True,
YFM,35,ent,ENT,0.09649122807017543,0.4975124378109453,99.0,False,True,
YFM,36,ent,ENT,0.14035087719298245,0.15422885572139303,30.0,False,True,
YFM,37,ent,ENT,0.07017543859649122,0.8955223880597015,179.0,False,True,
YFM,38,ent,ENT,0.13157894736842105,0.23383084577114427,46.0,False,True,
