subject,neuron,region_raw,region,n_trials,n_presentations,best_bin_ms,best_gamma,temporal_accuracy,permutation_p,n_perm_equal_or_better,coding,valid,invalid_reason,raw_significant,fdr_q,fdr_significant
YFJ,50,hpc,HPC,100,114,150.0,0.5,0.1578947368421052,0.1044776119402985,20.0,False,True,,False,0.23485876403108424,False
YFJ,51,hpc,HPC,100,114,150.0,0.2,0.131578947368421,0.3034825870646766,60.0,False,True,,False,0.3987790516018939,False
YFJ,52,hpc,HPC,100,114,90.0,0.5,0.1491228070175438,0.1641791044776119,32.0,False,True,,False,0.28997867803837946,False
YFJ,53,hpc,HPC,100,114,75.0,0.2,0.0526315789473684,0.8955223880597015,179.0,False,True,,False,0.9021558872305141,False
YFJ,54,hpc,HPC,100,114,90.0,0.2,0.1491228070175438,0.1940298507462686,38.0,False,True,,False,0.3188889389908463,False
YFJ,55,hpc,HPC,100,114,90.0,0.5,0.1403508771929824,0.2487562189054726,49.0,False,True,,False,0.356114166012045,False
YFJ,56,hpc,HPC,100,114,75.0,0.2,0.131578947368421,0.3333333333333333,66.0,False,True,,False,0.42072699149265275,False
YFJ,57,hpc,HPC,100,114,100.0,0.8,0.1929824561403508,0.0298507462686567,5.0,True,True,,True,0.13646055437100205,False
YFJ,58,hpc,HPC,100,114,100.0,0.2,0.1403508771929824,0.2288557213930348,45.0,False,True,,False,0.3477584146307568,False
YFJ,59,hpc,HPC,100,114,90.0,0.5,0.1403508771929824,0.3134328358208955,62.0,False,True,,False,0.4079125901592515,False
YFJ,60,hpc,HPC,100,114,75.0,0.5,0.1842105263157894,0.0298507462686567,5.0,True,True,,True,0.13646055437100205,False
YFJ,61,hpc,HPC,100,114,75.0,0.5,0.1578947368421052,0.1194029850746268,23.0,False,True,,False,0.25373134328358193,False
YFK,24,hpc,HPC,100,114,90.0,0.8,0.1666666666666666,0.0746268656716417,14.0,False,True,,False,0.20400510012750295,False
YFK,25,hpc,HPC,100,114,60.0,0.8,0.1403508771929824,0.2537313432835821,50.0,False,True,,False,0.3603912552121897,False
YFK,26,hpc,HPC,100,114,100.0,0.8,0.2368421052631578,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFK,27,hpc,HPC,100,114,60.0,0.2,0.1666666666666666,,,False,False,38 permutation accuracies were NaN,False,,False
YFK,28,hpc,HPC,100,114,225.0,0.2,0.1842105263157894,0.044776119402985,8.0,True,True,,True,0.15817018802093405,False
YFK,29,hpc,HPC,100,114,100.0,0.8,0.1666666666666666,0.0547263681592039,10.0,False,True,,False,0.18043117744610257,False
YFK,30,hpc,HPC,100,114,180.0,0.8,0.1666666666666666,0.0696517412935323,13.0,False,True,,False,0.19942393296674513,False
YFK,31,hpc,HPC,100,114,300.0,0.8,0.1578947368421052,0.0597014925373134,11.0,False,True,,False,0.18558635394456277,False
YFK,32,hpc,HPC,100,114,75.0,0.2,0.1052631578947368,0.5621890547263682,112.0,False,True,,False,0.6044087861089807,False
YFK,33,hpc,HPC,100,114,180.0,0.5,0.1491228070175438,0.1691542288557214,33.0,False,True,,False,0.2939932923243209,False
YFK,34,para-hpc,PARA-HPC,100,114,225.0,0.8,0.1491228070175438,0.1293532338308457,25.0,False,True,,False,0.2615916699032716,False
YFK,35,para-hpc,PARA-HPC,100,114,150.0,0.8,0.1491228070175438,0.1393034825870646,27.0,False,True,,False,0.2687272855580253,False
YFK,36,para-hpc,PARA-HPC,100,114,300.0,0.5,0.2017543859649122,0.0049751243781094,0.0,True,True,,True,0.10825870646766053,False
YFK,37,para-hpc,PARA-HPC,100,114,100.0,0.2,0.175438596491228,0.044776119402985,8.0,True,True,,True,0.15817018802093405,False
YFK,38,para-hpc,PARA-HPC,100,114,900.0,0.2,0.1403508771929824,0.1442786069651741,28.0,False,True,,False,0.2706467661691542,False
YFK,39,para-hpc,PARA-HPC,100,114,60.0,0.5,0.219298245614035,0.0099502487562189,1.0,True,True,,True,0.11516883666772515,False
YFK,40,para-hpc,PARA-HPC,100,114,60.0,0.5,0.1578947368421052,0.1243781094527363,24.0,False,True,,False,0.254367261437175,False
YFK,41,para-hpc,PARA-HPC,100,114,60.0,0.8,0.1140350877192982,0.5373134328358209,107.0,False,True,,False,0.585768552029432,False
YFK,42,para-hpc,PARA-HPC,100,114,225.0,0.2,0.1929824561403508,0.0199004975124378,3.0,True,True,,True,0.12887941246150195,False
YFK,43,para-hpc,PARA-HPC,100,114,90.0,0.5,0.1666666666666666,0.0646766169154228,12.0,False,True,,False,0.19546710889994445,False
YFK,44,para-hpc,PARA-HPC,100,114,100.0,0.5,0.1228070175438596,0.3980099502487562,79.0,False,True,,False,0.4727454430902257,False
